geoid,NAME,state,county,tract,households_total,median_income,hh_broadband_any,hh_no_internet,pct_broadband_any,pct_no_internet,pct_households_with_computer,pct_households_with_broadband_DP
36005015200,Census Tract 152; Bronx County; New York,36,5,15200,986,81875.0,922,55,93.50912778904666,5.578093306288032,0.9,986
36005015300,Census Tract 153; Bronx County; New York,36,5,15300,1781,33028.0,1542,239,86.58057271195958,13.419427288040428,10.4,1781
36005015500,Census Tract 155; Bronx County; New York,36,5,15500,1064,43913.0,877,117,82.42481203007519,10.996240601503759,0.6,1064
36005015700,Census Tract 157; Bronx County; New York,36,5,15700,2321,46504.0,2096,144,90.30590262817752,6.204222317966393,7.5,2321
36005015800,Census Tract 158; Bronx County; New York,36,5,15800,534,87656.0,426,87,79.7752808988764,16.292134831460675,2.6,534
36005015900,Census Tract 159; Bronx County; New York,36,5,15900,1023,25686.0,872,114,85.23949169110459,11.143695014662756,2.5,1023
36005016000,Census Tract 160; Bronx County; New York,36,5,16000,1521,90221.0,1417,63,93.16239316239316,4.142011834319527,0.7,1521
36005016100,Census Tract 161; Bronx County; New York,36,5,16100,2224,23210.0,1935,201,87.00539568345323,9.037769784172662,4.2,2224
36005016200,Census Tract 162; Bronx County; New York,36,5,16200,509,121645.0,496,13,97.44597249508841,2.5540275049115913,0.3,509
36005016300,Census Tract 163; Bronx County; New York,36,5,16300,0,,0,0,,,-666666666.0,0
36005016400,Census Tract 164; Bronx County; New York,36,5,16400,392,69057.0,348,44,88.77551020408163,11.224489795918368,6.1,392
36005016500,Census Tract 165; Bronx County; New York,36,5,16500,376,52446.0,355,10,94.41489361702128,2.6595744680851063,11.0,376
36005016600,Census Tract 166; Bronx County; New York,36,5,16600,802,109519.0,753,49,93.89027431421447,6.109725685785536,9.3,802
36005016700,Census Tract 167; Bronx County; New York,36,5,16700,1154,45363.0,1066,66,92.37435008665511,5.719237435008666,5.1,1154
36005016900,Census Tract 169; Bronx County; New York,36,5,16900,607,42168.0,579,18,95.38714991762768,2.9654036243822075,10.2,607
36005017100,Census Tract 171; Bronx County; New York,36,5,17100,0,,0,0,,,-666666666.0,0
36005017300,Census Tract 173; Bronx County; New York,36,5,17300,2276,33269.0,1795,265,78.8664323374341,11.64323374340949,1.6,2276
36005017500,Census Tract 175; Bronx County; New York,36,5,17500,2975,18474.0,2488,242,83.63025210084034,8.134453781512605,9.7,2975
36005017701,Census Tract 177.01; Bronx County; New York,36,5,17701,1462,62126.0,1320,31,90.2872777017784,2.1203830369357046,0.5,1462
36005017702,Census Tract 177.02; Bronx County; New York,36,5,17702,1675,40125.0,1589,50,94.86567164179105,2.9850746268656714,8.0,1675
36005017901,Census Tract 179.01; Bronx County; New York,36,5,17901,1688,47778.0,1630,0,96.56398104265402,0.0,4.6,1688
36005017902,Census Tract 179.02; Bronx County; New York,36,5,17902,1216,42870.0,1047,135,86.10197368421053,11.101973684210527,1.7,1216
36005018101,Census Tract 181.01; Bronx County; New York,36,5,18101,1084,55664.0,959,108,88.46863468634686,9.96309963099631,7.9,1084
36005018102,Census Tract 181.02; Bronx County; New York,36,5,18102,2150,31618.0,1703,400,79.2093023255814,18.6046511627907,5.3,2150
36005018301,Census Tract 183.01; Bronx County; New York,36,5,18301,1934,46389.0,1570,273,81.1789038262668,14.115822130299897,1.7,1934
36005018302,Census Tract 183.02; Bronx County; New York,36,5,18302,1452,68627.0,1293,124,89.0495867768595,8.539944903581267,13.5,1452
36005018400,Census Tract 184; Bronx County; New York,36,5,18400,1340,92273.0,1266,74,94.47761194029852,5.522388059701493,0.2,1340
36005018501,Census Tract 185.01; Bronx County; New York,36,5,18501,1466,49444.0,1377,89,93.92905866302866,6.070941336971351,6.7,1466
36005018502,Census Tract 185.02; Bronx County; New York,36,5,18502,2106,28963.0,1808,280,85.84995251661918,13.295346628679964,4.1,2106
36005018900,Census Tract 189; Bronx County; New York,36,5,18900,3050,54056.0,2539,352,83.24590163934427,11.540983606557377,2.9,3050
36005019300,Census Tract 193; Bronx County; New York,36,5,19300,2519,46794.0,2033,76,80.70662961492656,3.017070265978563,9.1,2519
36005019400,Census Tract 194; Bronx County; New York,36,5,19400,696,100950.0,587,84,84.33908045977012,12.068965517241379,3.4,696
36005019500,Census Tract 195; Bronx County; New York,36,5,19500,2703,45661.0,2203,357,81.50203477617463,13.20754716981132,0.7,2703
36005019700,Census Tract 197; Bronx County; New York,36,5,19700,2528,25439.0,2040,325,80.69620253164557,12.856012658227847,2.8,2528
36005019900,Census Tract 199; Bronx County; New York,36,5,19900,3185,34311.0,2279,810,71.5541601255887,25.43171114599686,0.5,3185
36005020000,Census Tract 200; Bronx County; New York,36,5,20000,1430,46622.0,1262,158,88.25174825174825,11.048951048951048,0.8,1430
36005020100,Census Tract 201; Bronx County; New York,36,5,20100,1406,32692.0,1299,71,92.38975817923186,5.049786628733997,0.4,1406
36005020200,Census Tract 202; Bronx County; New York,36,5,20200,975,53491.0,797,156,81.74358974358974,16.0,1.4,975
36005020400,Census Tract 204; Bronx County; New York,36,5,20400,988,55947.0,921,39,93.21862348178138,3.9473684210526314,5.2,988
36005020501,Census Tract 205.01; Bronx County; New York,36,5,20501,2681,27349.0,2552,66,95.18836255128683,2.461767997016039,0.8,2681
36005020502,Census Tract 205.02; Bronx County; New York,36,5,20502,1040,39688.0,905,95,87.01923076923077,9.134615384615383,3.6,1040
36005020601,Census Tract 206.01; Bronx County; New York,36,5,20601,937,86701.0,783,119,83.56456776947705,12.700106723585913,2.4,937
36005020900,Census Tract 209; Bronx County; New York,36,5,20900,1944,38333.0,1524,320,78.39506172839506,16.46090534979424,2.5,1944
